Period,etf_price
2010-01-01,12.225553
2010-02-01,13.201204
2010-03-01,14.057395
2010-04-01,14.341842
2010-05-01,13.403166
2010-06-01,12.433201
2010-07-01,13.137064
2010-08-01,11.762784
2010-09-01,13.517061
2010-10-01,14.45134
2010-11-01,15.157042
2010-12-01,15.914191
2011-01-01,16.997032
2011-02-01,17.737032
2011-03-01,16.882751
2011-04-01,17.391748
2011-05-01,17.036938
2011-06-01,15.880927
2011-07-01,15.04386
2011-08-01,13.859731
2011-09-01,13.165884
2011-10-01,15.06266
2011-11-01,14.525127
2011-12-01,14.200299
2012-01-01,15.987814
2012-02-01,16.612812
2012-03-01,17.122601
2012-04-01,16.189341
2012-05-01,14.489912
2012-06-01,15.095821
2012-07-01,15.092765
2012-08-01,15.601738
2012-09-01,15.003119
2012-10-01,14.491811
2012-11-01,14.79391
2012-12-01,15.116336
2013-01-01,16.330305
2013-02-01,16.924974
2013-03-01,17.260214
2013-04-01,17.623333
2013-05-01,18.626617
2013-06-01,18.579815
2013-07-01,19.043619
2013-08-01,18.293242
2013-09-01,19.536049
2013-10-01,20.277895
2013-11-01,20.454559
2013-12-01,21.408543
2014-01-01,21.244345
2014-02-01,22.671072
2014-03-01,23.539516
2014-04-01,23.163616
2014-05-01,24.188379
2014-06-01,25.58927
2014-07-01,24.544483
2014-08-01,26.118607
2014-09-01,25.794876
2014-10-01,25.955416
2014-11-01,27.828732
2014-12-01,27.664928
2015-01-01,26.531898
2015-02-01,29.080908
2015-03-01,28.228235
2015-04-01,27.939285
2015-05-01,30.425852
2015-06-01,27.722536
2015-07-01,26.421448
2015-08-01,25.057209
2015-09-01,24.586372
2015-10-01,27.177031
2015-11-01,27.805321
2015-12-01,27.268091
2016-01-01,25.254665
2016-02-01,25.692665
2016-03-01,27.867432
2016-04-01,26.658037
2016-05-01,28.973608
2016-06-01,28.56785
2016-07-01,31.829048
2016-08-01,33.32869
2016-09-01,34.580429
2016-10-01,34.224625
2016-11-01,36.689434
2016-12-01,37.715939
2017-01-01,39.387306
2017-02-01,40.496292
2017-03-01,42.168999
2017-04-01,42.038437
2017-05-01,45.707664
2017-06-01,43.301659
2017-07-01,45.507629
2017-08-01,46.8297
2017-09-01,49.096096
2017-10-01,53.652061
2017-11-01,53.60236
2017-12-01,52.748119
2018-01-01,57.406887
2018-02-01,57.534473
2018-03-01,56.031387
2018-04-01,52.608727
2018-05-01,58.442719
2018-06-01,55.577175
2018-07-01,58.039913
2018-08-01,59.548027
2018-09-01,57.899128
2018-10-01,51.212559
2018-11-01,52.875015
2018-12-01,49.311253
2019-01-01,54.385475
2019-02-01,57.865463
2019-03-01,59.692059
2019-04-01,66.808144
2019-05-01,55.742935
2019-06-01,62.655537
2019-07-01,66.454865
2019-08-01,64.916977
2019-09-01,67.035118
2019-10-01,71.456848
2019-11-01,74.361649
2019-12-01,79.976898
2020-01-01,77.689987
2020-02-01,74.087723
2020-03-01,65.591888
2020-04-01,75.385307
2020-05-01,80.78006
2020-06-01,86.877205
2020-07-01,93.340858
2020-08-01,98.750572
2020-09-01,97.911621
2020-10-01,98.546349
2020-11-01,116.718109
2020-12-01,122.321617
2021-01-01,126.527252
2021-02-01,134.766922
2021-03-01,137.055557
2021-04-01,136.679108
2021-05-01,140.12825
2021-06-01,147.104172
2021-07-01,148.152222
2021-08-01,151.809708
2021-09-01,144.57251
2021-10-01,154.274063
2021-11-01,172.024521
2021-12-01,176.276077
2022-01-01,156.144028
2022-02-01,154.414795
2022-03-01,154.128189
2022-04-01,130.764511
2022-05-01,139.038818
2022-06-01,114.069016
2022-07-01,133.102509
2022-08-01,120.802948
2022-09-01,104.150841
2022-10-01,107.262413
2022-11-01,127.484192
2022-12-01,114.326065
2023-01-01,132.996445
2023-02-01,135.022644
2023-03-01,146.501038
2023-04-01,136.125839
2023-05-01,157.449371
2023-06-01,167.543045
2023-07-01,177.043503
2023-08-01,168.897446
2023-09-01,156.653564
2023-10-01,146.835785
2023-11-01,170.488037
2023-12-01,191.216141
2024-01-01,194.902161
2024-02-01,216.865021
2024-03-01,225.402069
