period,PrimaryValue
2000M01,924056226.06
2000M02,958416595.245
2000M03,1062261636.189
2000M04,982311634.191
2000M05,1065543029.044
2000M06,1190424821.395
2000M07,1104818645.154
2000M08,1207755054.931
2000M09,1350087607.172
2000M10,1316543154.92
2000M11,1311854351.066
2000M12,1549725392.228
2001M01,1263873668.857
2001M02,1314720056.145
2001M03,1527954471.92
2001M04,1090933954.196
2001M05,1034830996.109
2001M06,1285454481.67
2001M07,995332362.143
2001M08,902683816.1359999
2001M09,1116461500.463
2001M10,1340447194.818
2001M11,1148329976.535
2001M12,1442611790.023
2002M01,1446499725.484
2002M02,1216680251.9310002
2002M03,1498686772.4720001
2002M04,1503192170.26
2002M05,1833724984.7429998
2002M06,1263291823.025
2002M07,1709405090.634
2002M08,809435323.498
2002M09,991701518.909
2002M10,1043538880.324
2002M11,957791456.017
2002M12,1105604721.72
2003M01,911517703.043
2003M02,867259634.992
2003M03,1144103283.353
2003M04,891738497.482
2003M05,968272117.049
2003M06,1120247635.889
2003M07,899155584.822
2003M08,839112308.824
2003M09,1213931220.684
2003M10,1136805437.603
2003M11,1006322833.847
2003M12,1288808407.909
2004M01,1032941464.059
2004M02,1014492825.633
2004M03,1466030104.773
2004M04,1128109860.262
2004M05,1088889982.674
2004M06,1402116871.271
2004M07,1252607081.342
2004M08,1140678500.219
2004M09,1430456766.5149999
2004M10,1520683875.267
2004M11,1271595004.83
2004M12,1507167768.48
2005M01,1213920124.94
2005M02,1194514733.862
2005M03,1564539070.131
2005M04,1287190816.7719998
2005M05,1242607254.835
2005M06,1445625703.467
2005M07,1205921025.384
2005M08,1229763864.453
2005M09,1466955664.6650002
2005M10,1246723487.307
2005M11,1278392041.642
2005M12,1305315244.787
2006M01,1212433835.529
2006M02,1135237562.638
2006M03,1492819355.149
2006M04,1254618968.094
2006M05,1381636081.629
2006M06,1557875606.2749999
2006M07,1269079417.6399999
2006M08,1312027859.652
2006M09,1531341107.1279998
2006M10,1361105755.103
2006M11,1410157259.343
2006M12,1478159098.102
2007M01,1067143198.762
2007M02,1092860050.477
2007M03,1236215457.582
2007M04,1239564730.458
2007M05,1253680140.683
2007M06,1289340963.674
2007M07,1160544766.94
2007M08,1192033720.573
2007M09,1224521530.181
2007M10,1418424314.385
2007M11,1280190567.23
2007M12,1200948367.98
2008M01,2533601727.138
2008M02,2417596022.072
2008M03,2363095283.1369996
2008M04,2656485682.6
2008M05,2413691012.643
2008M06,2280376894.2599998
2008M07,2367297558.104
2008M08,2225900536.858
2008M09,2455228874.333
2008M10,2331892398.1809998
2008M11,1850890574.002
2008M12,1625763870.792
2009M01,1535708748.725
2009M02,1305020202.399
2009M03,1486141790.879
2009M04,1313616678.744
2009M05,1410037132.688
2009M06,1478307475.5180001
2009M07,1640185105.422
2009M08,1470540731.2910001
2009M09,1679423685.135
2009M10,1783839055.61
2009M11,1691460659.8109999
2009M12,1631397294.2580001
2010M01,25555279201.541
2010M02,22365360512.247
2010M03,28209328020.592
2010M04,27495646545.708
2010M05,27481926786.327
2010M06,29476423983.704
2010M07,29996722075.145
2010M08,30794915369.641003
2010M09,31744794322.203
2010M10,31150525488.217003
2010M11,27392110835.374
2010M12,26355138874.524
2011M01,28185772200.524
2011M02,26210628140.365997
2011M03,31334685571.63
2011M04,27314116094.277
2011M05,27898097446.659
2011M06,28662190245.694
2011M07,28536139928.058
2011M08,28753568850.201
2011M09,29001191746.628
2011M10,28455560859.219
2011M11,29199096350.163
2011M12,28327346506.607
2012M01,25264343935.861
2012M02,26778913281.350998
2012M03,29458329492.049
2012M04,23287350265.131
2012M05,27801213401.991
2012M06,29957548257.565998
2012M07,29739595530.603
2012M08,31266442585.514
2012M09,32917479817.97
2012M10,26032694968.913002
2012M11,25573522695.475002
2012M12,24288951575.648
2013M01,26981903515.803
2013M02,22802828946.903
2013M03,28740093844.568
2013M04,20809704029.04
2013M05,28916292075.616
2013M06,28089192484.935
2013M07,29229202199.002
2013M08,29960570436.444
2013M09,32076567270.593
2013M10,33261817208.588
2013M11,30094022529.523
2013M12,28945542647.509003
2014M01,26164904212.774002
2014M02,24648731139.613
2014M03,28684792078.353
2014M04,29384995305.255
2014M05,28824182876.088
2014M06,29039446257.476
2014M07,26888058647.582
2014M08,29580840310.991
2014M09,31811724946.262
2014M10,30581856611.548
2014M11,29353753915.77
2014M12,29074833707.141
2015M01,31369626349.951
2015M02,25002341405.959
2015M03,30910560205.861004
2015M04,29845413274.913998
2015M05,30102737709.214
2015M06,30506408751.711002
2015M07,31979492940.676003
2015M08,30615723298.482998
2015M09,33203391014.670002
2015M10,40081524455.351
2015M11,30202793629.89
2015M12,29638885738.703
2016M01,32466960818.461
2016M02,28305607373.815998
2016M03,36617619954.913
2016M04,34228171188.599
2016M05,34615326277.099
2016M06,37110454960.842
2016M07,37144737870.802
2016M08,38937933060.233
2016M09,41365779240.544
2016M10,39444952405.245
2016M11,40296474268.066
2016M12,41449983349.9
2017M01,37399106953.987
2017M02,36551920802.079
2017M03,42585901623.583
2017M04,39810846321.15
2017M05,41907138594.493004
2017M06,44331037299.585
2017M07,44851730365.914
2017M08,47876818943.716995
2017M09,48800994488.093
2017M10,46924631056.809
2017M11,49440178659.216
2017M12,48477487754.146
2018M01,47964440750.972
2018M02,40249246241.318
2018M03,52225346199.744
2018M04,47648761179.151
2018M05,50291768785.772
2018M06,50759439638.575005
2018M07,40772899044.542
2018M08,54646912037.957
2018M09,56171664441.989
2018M10,55861902715.553
2018M11,51175030547.971
2018M12,46430430066.984
2019M01,48042214477.504005
2019M02,39984681608.31
2019M03,49740229294.825
2019M04,48296431623.617
2019M05,48006159836.068
2019M06,47940540237.308
2019M07,52041408015.297
2019M08,53688743813.865
2019M09,54100121524.649
2019M10,55004911317.499
2019M11,52411188951.27
2019M12,53779370579.348
2020M01,47714685224.433
2020M02,45415774298.284
2020M03,53083780025.294
2020M04,48971861111.095
2020M05,49436426954.039
2020M06,52260080112.5
2020M07,56763318958.425
2020M08,55787327327.737
2020M09,62340474746.891
2020M10,59194493490.182
2020M11,59938792361.331
2020M12,65926307490.04
2021M01,60194591894.191
2021M02,54055695218.856
2021M03,68873460673.178
2021M04,63921365172.410995
2021M05,64724590481.297005
2021M06,70019183383.917
2021M07,69887201343.174
2021M08,73850316402.969
2021M09,76419563124.716
2021M10,71307794736.24
2021M11,77077521282.842
2021M12,83805536164.819
2022M01,69283388165.799
2022M02,60577298607.578
2022M03,73918202931.853
2022M04,66108152731.553
2022M05,67154618855.856995
2022M06,71503525436.778
2022M07,66543500750.284996
2022M08,64842754763.52
2022M09,73633965104.824
2022M10,65182079787.636
2022M11,58386925721.528
2022M12,63608169145.79099
2023M01,33246595286.84
2023M02,34070966474.391
2023M03,44300667032.652
2023M04,37629417553.382
2023M05,36897682307.449005
2023M06,41696958937.921
2023M07,38580945805.877
2023M08,41832857055.598
2023M09,45930884151.796
